encrypt_time,tally_time,decrypt_time,total_time
4.785,0.049,0.126,5.039
4.765,0.051,0.124,5.038
4.776,0.042,0.123,5.040
4.750,0.051,0.125,5.021
4.750,0.049,0.125,5.028
