encrypt_time,tally_time,decrypt_time,total_time
474.024,4.086,0.141,497.254
473.930,4.195,0.145,497.562
473.500,4.121,0.140,496.940
472.799,4.406,0.146,496.888
472.604,4.184,0.141,496.786
