encrypt_time,tally_time,decrypt_time,total_time
0.468,0.009,0.130,0.815
0.461,0.008,0.124,0.521
0.463,0.008,0.123,0.521
0.473,0.008,0.130,0.534
0.508,0.011,0.131,0.576
