encrypt_time,tally_time,decrypt_time,total_time
0.500,0.009,0.128,1.171
0.486,0.010,0.130,0.547
0.534,0.009,0.129,0.599
0.488,0.009,0.125,0.551
0.480,0.012,0.130,0.549
