encrypt_time,tally_time,decrypt_time,total_time
28.546,0.276,0.730,29.695
28.800,0.278,0.724,30.079
28.515,0.277,0.728,29.788
28.441,0.279,0.730,29.709
28.609,0.279,0.727,29.868
