encrypt_time,tally_time,decrypt_time,total_time
0.232,0.007,0.066,0.280
0.236,0.006,0.067,0.285
0.231,0.006,0.068,0.281
0.235,0.006,0.068,0.283
0.235,0.006,0.068,0.283
