encrypt_time,tally_time,decrypt_time,total_time
2.317,0.026,0.123,2.446
2.291,0.022,0.124,2.434
2.284,0.025,0.127,2.429
2.298,0.026,0.128,2.446
2.331,0.024,0.127,2.482
