encrypt_time,tally_time,decrypt_time,total_time
5.633,0.059,1.431,8.234
5.648,0.058,1.497,5.903
5.814,0.064,1.432,6.073
5.638,0.060,1.429,5.892
5.631,0.073,1.429,5.902
