encrypt_time,tally_time,decrypt_time,total_time
2.884,0.037,0.724,3.623
2.854,0.046,0.726,3.035
2.862,0.039,0.731,3.036
2.854,0.044,0.729,3.033
2.884,0.044,0.728,3.060
