num_voters,num_questions,num_choices,tally_time,decrypt_time
50,5,6,0.057,0.425
50,5,6,0.060,0.420
50,5,6,0.058,0.413
50,5,6,0.058,0.417
50,5,7,0.066,0.485
50,5,7,0.085,0.503
50,5,7,0.066,0.487
50,5,7,0.066,0.500
50,5,7,0.067,0.496
50,5,9,0.084,0.611
50,5,9,0.085,0.624
50,5,9,0.085,0.617
50,5,9,0.084,0.617
50,5,9,0.085,0.633
50,5,9,0.084,0.631
50,5,9,0.085,0.623
50,5,9,0.085,0.632
50,5,9,0.082,0.623
50,5,9,0.086,0.625
50,5,10,0.098,0.675
50,5,10,0.098,0.706
50,5,10,0.097,0.729
50,5,10,0.095,0.703
50,5,10,0.095,0.702
50,6,1,0.019,0.088
50,6,1,0.019,0.088
50,6,1,0.019,0.089
50,6,1,0.019,0.089
50,6,1,0.021,0.089
50,6,2,0.030,0.177
50,6,2,0.029,0.176
50,6,2,0.029,0.172
50,6,2,0.029,0.173
50,6,2,0.028,0.171
50,6,3,0.039,0.261
50,6,3,0.039,0.251
50,6,3,0.039,0.263
50,6,3,0.038,0.259
50,6,3,0.039,0.255
50,6,4,0.046,0.340
50,6,4,0.049,0.343
50,6,4,0.048,0.394
50,6,4,0.054,0.356
50,6,4,0.055,0.376
50,6,5,0.121,0.621
50,6,5,0.058,0.424
50,6,5,0.058,0.415
50,6,5,0.057,0.442
50,6,5,0.059,0.418
50,6,6,0.068,0.510
50,6,6,0.069,0.519
50,6,6,0.071,0.514
50,6,6,0.069,0.516
50,6,6,0.068,0.493
50,6,7,0.081,0.581
50,6,7,0.078,0.607
50,6,7,0.078,0.578
50,6,7,0.079,0.590
50,6,7,0.077,0.591
50,6,9,0.099,0.757
50,6,9,0.098,0.749
50,6,9,0.099,0.754
50,6,9,0.102,0.743
50,6,9,0.100,0.758
50,6,9,0.102,0.746
50,6,9,0.098,0.757
50,6,9,0.102,0.749
50,6,9,0.100,0.743
50,6,9,0.097,0.764
50,6,10,0.111,0.853
50,6,10,0.110,0.855
50,6,10,0.112,0.849
50,6,10,0.113,0.851
50,6,10,0.112,0.832
50,7,1,0.020,0.101
50,7,1,0.023,0.105
50,7,1,0.021,0.103
50,7,1,0.020,0.100
50,7,1,0.020,0.110
50,7,2,0.031,0.194
50,7,2,0.031,0.202
50,7,2,0.031,0.196
50,7,2,0.033,0.199
50,7,2,0.030,0.201
50,7,3,0.042,0.306
50,7,3,0.044,0.287
50,7,3,0.042,0.297
50,7,3,0.042,0.290
50,7,3,0.043,0.299
50,7,4,0.055,0.403
50,7,4,0.054,0.398
50,7,4,0.052,0.382
50,7,4,0.054,0.395
50,7,4,0.056,0.390
50,7,5,0.064,0.486
50,7,5,0.063,0.485
50,7,5,0.065,0.497
50,7,5,0.065,0.498
50,7,5,0.062,0.492
50,7,6,0.076,0.587
50,7,6,0.077,0.581
50,7,6,0.075,0.581
50,7,6,0.076,0.579
50,7,6,0.074,0.580
50,7,7,0.088,0.671
50,7,7,0.088,0.695
50,7,7,0.088,0.694
50,7,7,0.093,0.701
50,7,7,0.088,0.678
50,7,9,0.115,0.890
50,7,9,0.113,0.913
50,7,9,0.112,0.903
50,7,9,0.114,0.903
50,7,9,0.116,0.885
50,7,9,0.113,0.879
50,7,9,0.112,0.878
50,7,9,0.112,0.871
50,7,9,0.112,0.854
50,7,9,0.114,0.862
50,7,10,0.129,0.979
50,7,10,0.128,0.966
50,7,10,0.127,0.968
50,7,10,0.129,0.955
50,7,10,0.127,0.952
50,9,1,0.023,0.133
50,9,1,0.023,0.131
50,9,1,0.023,0.131
50,9,1,0.023,0.131
50,9,1,0.024,0.132
50,9,2,0.037,0.255
50,9,2,0.038,0.244
50,9,2,0.036,0.254
50,9,2,0.037,0.254
50,9,2,0.038,0.253
50,9,3,0.053,0.373
50,9,3,0.053,0.388
50,9,3,0.052,0.375
50,9,3,0.053,0.402
50,9,3,0.051,0.383
50,9,4,0.066,0.499
50,9,4,0.067,0.498
50,9,4,0.067,0.511
50,9,4,0.065,0.501
50,9,4,0.071,0.495
50,9,5,0.079,0.615
50,9,5,0.079,0.619
50,9,5,0.079,0.652
50,9,5,0.081,0.616
50,9,5,0.086,0.638
50,9,6,0.097,0.763
50,9,6,0.095,0.774
50,9,6,0.098,0.773
50,9,6,0.096,0.736
50,9,6,0.095,0.740
50,9,7,0.110,0.865
50,9,7,0.110,0.873
50,9,7,0.110,0.846
50,9,7,0.108,0.858
50,9,7,0.111,0.880
50,9,9,0.139,1.101
50,9,9,0.140,1.127
50,9,9,0.142,1.108
50,9,9,0.141,1.112
50,9,9,0.142,1.152
50,9,9,0.140,1.145
50,9,9,0.148,1.178
50,9,9,0.140,1.136
50,9,9,0.143,1.135
50,9,9,0.144,1.096
50,9,10,0.157,1.246
50,9,10,0.157,1.226
50,9,10,0.157,1.206
50,9,10,0.159,1.246
50,9,10,0.167,1.304
50,9,1,0.024,0.136
50,9,1,0.024,0.145
50,9,1,0.024,0.131
50,9,1,0.023,0.131
50,9,1,0.023,0.134
50,9,2,0.037,0.284
50,9,2,0.039,0.264
50,9,2,0.038,0.257
50,9,2,0.039,0.260
50,9,2,0.040,0.259
50,9,3,0.056,0.379
50,9,3,0.052,0.384
50,9,3,0.053,0.392
50,9,3,0.054,0.375
50,9,3,0.051,0.381
50,9,4,0.065,0.511
50,9,4,0.066,0.502
50,9,4,0.065,0.509
50,9,4,0.067,0.506
50,9,4,0.065,0.491
50,9,5,0.082,0.615
50,9,5,0.082,0.630
50,9,5,0.080,0.640
50,9,5,0.082,0.621
50,9,5,0.081,0.630
50,9,6,0.097,0.741
50,9,6,0.096,0.752
50,9,6,0.094,0.745
50,9,6,0.094,0.747
50,9,6,0.097,0.757
50,9,7,0.109,0.879
50,9,7,0.111,0.876
50,9,7,0.108,0.877
50,9,7,0.113,0.879
50,9,7,0.109,0.861
50,9,9,0.143,1.119
50,9,9,0.141,1.100
50,9,9,0.140,1.122
50,9,9,0.144,1.106
50,9,9,0.141,1.105
50,9,9,0.144,1.176
50,9,9,0.143,1.114
50,9,9,0.149,1.153
50,9,9,0.142,1.164
50,9,9,0.140,1.150
50,9,10,0.161,1.232
50,9,10,0.161,1.256
50,9,10,0.156,1.236
50,9,10,0.158,1.211
50,9,10,0.157,1.213
50,10,1,0.024,0.146
50,10,1,0.025,0.145
50,10,1,0.029,0.155
50,10,1,0.030,0.156
50,10,1,0.029,0.156
50,10,2,0.042,0.287
50,10,2,0.041,0.295
50,10,2,0.043,0.303
50,10,2,0.040,0.275
50,10,2,0.041,0.286
50,10,3,0.058,0.432
50,10,3,0.056,0.447
50,10,3,0.058,0.415
50,10,3,0.058,0.419
50,10,3,0.056,0.430
50,10,4,0.075,0.548
50,10,4,0.073,0.550
50,10,4,0.072,0.568
50,10,4,0.072,0.574
50,10,4,0.073,0.566
50,10,5,0.092,0.697
50,10,5,0.091,0.694
50,10,5,0.091,0.696
50,10,5,0.089,0.705
50,10,5,0.090,0.685
50,10,6,0.106,0.836
50,10,6,0.104,0.828
50,10,6,0.104,0.844
50,10,6,0.106,0.824
50,10,6,0.105,0.864
50,10,7,0.132,1.034
50,10,7,0.130,1.018
50,10,7,0.135,1.032
50,10,7,0.131,1.022
50,10,7,0.130,1.027
50,10,9,0.167,1.308
50,10,9,0.165,1.315
50,10,9,0.166,1.250
50,10,9,0.157,1.221
50,10,9,0.152,1.255
50,10,9,0.158,1.286
50,10,9,0.156,1.296
50,10,9,0.159,1.259
50,10,9,0.160,1.220
50,10,9,0.155,1.222
50,10,10,0.176,1.336
50,10,10,0.182,1.356
50,10,10,0.181,1.352
50,10,10,0.178,1.382
50,10,10,0.171,1.326
100,1,1,0.013,0.019
100,1,1,0.014,0.020
100,1,1,0.013,0.019
100,1,1,0.013,0.019
100,1,1,0.014,0.019
100,1,2,0.016,0.033
100,1,2,0.017,0.033
100,1,2,0.016,0.033
100,1,2,0.016,0.032
100,1,2,0.017,0.033
100,1,3,0.020,0.049
100,1,3,0.020,0.049
100,1,3,0.020,0.050
100,1,3,0.020,0.048
100,1,3,0.022,0.048
100,1,4,0.024,0.063
100,1,4,0.025,0.062
100,1,4,0.025,0.062
100,1,4,0.024,0.062
100,1,4,0.024,0.066
100,1,5,0.026,0.078
100,1,5,0.026,0.077
100,1,5,0.026,0.076
100,1,5,0.026,0.078
100,1,5,0.026,0.075
100,1,6,0.029,0.092
100,1,6,0.029,0.092
100,1,6,0.033,0.100
100,1,6,0.030,0.090
100,1,6,0.030,0.096
100,1,7,0.035,0.107
100,1,7,0.033,0.103
100,1,7,0.033,0.103
100,1,7,0.033,0.105
100,1,7,0.035,0.105
100,1,9,0.040,0.140
100,1,9,0.042,0.134
100,1,9,0.043,0.135
