encrypt_time,tally_time,decrypt_time,total_time
2.405,0.031,0.125,2.544
2.385,0.029,0.125,2.540
2.438,0.032,0.128,2.604
2.439,0.026,0.126,2.628
2.419,0.028,0.128,2.583
