encrypt_time,tally_time,decrypt_time,total_time
48.781,0.563,0.138,51.109
48.004,0.463,0.127,50.728
47.687,0.468,0.128,50.337
48.557,0.472,0.128,51.279
47.710,0.479,0.128,50.383
