encrypt_time,tally_time,decrypt_time,total_time
56.093,0.490,1.465,58.050
56.363,0.482,1.430,58.517
56.303,0.485,1.435,58.441
56.200,0.502,1.433,58.362
56.267,0.519,1.438,58.471
