encrypt_time,tally_time,decrypt_time,total_time
561.941,4.900,1.435,579.592
576.526,6.414,1.481,602.798
565.688,5.037,1.437,590.311
561.448,5.000,1.428,583.007
573.288,7.206,1.502,599.925
