encrypt_time,tally_time,decrypt_time,total_time
14.326,0.171,0.730,14.909
14.195,0.127,0.722,14.857
14.156,0.121,0.730,14.819
14.332,0.135,0.739,15.047
14.678,0.134,0.727,15.371
