encrypt_time,tally_time,decrypt_time,total_time
45.811,0.406,0.124,47.670
45.789,0.360,0.128,48.028
45.646,0.352,0.123,48.083
45.734,0.355,0.127,48.049
45.819,0.362,0.126,48.202
