encrypt_time,tally_time,decrypt_time,total_time
23.371,0.185,0.071,24.690
23.211,0.183,0.070,24.697
23.681,0.183,0.071,25.200
23.291,0.191,0.070,24.972
22.998,0.185,0.082,24.546
