encrypt_time,tally_time,decrypt_time,total_time
2.309,0.023,0.067,2.467
2.303,0.025,0.068,2.479
2.315,0.022,0.067,2.492
2.323,0.022,0.068,2.504
2.347,0.024,0.071,2.525
