encrypt_time,tally_time,decrypt_time,total_time
28.047,0.250,1.432,29.003
28.197,0.263,1.431,29.298
28.200,0.265,1.431,29.299
28.180,0.264,1.421,29.278
28.033,0.261,1.430,29.117
