encrypt_time,tally_time,decrypt_time,total_time
1.186,0.014,0.067,1.280
1.151,0.012,0.067,1.252
1.152,0.013,0.067,1.255
1.160,0.013,0.069,1.265
1.158,0.013,0.069,1.264
