encrypt_time,tally_time,decrypt_time,total_time
285.901,2.614,0.738,295.943
288.456,2.745,0.734,301.166
285.532,2.464,0.749,297.457
287.063,2.701,0.731,299.259
287.430,2.734,0.734,299.873
