encrypt_time,tally_time,decrypt_time,total_time
466.278,3.944,0.150,491.736
466.321,4.197,0.143,491.731
460.731,3.860,0.143,484.468
457.087,3.853,0.137,479.304
459.220,3.863,0.142,481.834
